occasion_text,outfit,gender
rainy day unisex,Classic brown shirt with peach denim,unisex
beach unisex,Modern maroon jacket with white pants,unisex
date night unisex,Classic white shirt with brown denim,unisex
rainy day male,Sporty peach t-shirt with brown shorts,male
travel male,Traditional grey kurta with navy pyjama,male
beach female,Elegant black dress with navy scarf,female
night out unisex,Trendy maroon t-shirt with white joggers,unisex
office unisex,Trendy navy t-shirt with peach joggers,unisex
night out unisex,Classic maroon shirt with white denim,unisex
rainy day unisex,Stylish maroon hoodie with white jeans,unisex
casual meetup male,Sporty navy t-shirt with peach shorts,male
beach unisex,Comfy brown sweater with blue trousers,unisex
gym male,Sporty maroon t-shirt with red shorts,male
gym female,Elegant peach dress with navy scarf,female
date night male,Formal black suit with red tie,male
night out unisex,Modern white jacket with peach pants,unisex
casual meetup unisex,Modern green jacket with grey pants,unisex
party unisex,Comfy peach sweater with brown trousers,unisex
date night female,Casual green top with black jeans,female
wedding male,Casual green shirt with navy trousers,male
beach male,Casual white shirt with black trousers,male
beach male,Traditional white kurta with green pyjama,male
party male,Formal grey suit with black tie,male
travel unisex,Classic white shirt with black denim,unisex
travel unisex,Stylish grey hoodie with navy jeans,unisex
office male,Smart brown blazer with blue chinos,male
gym unisex,Comfy peach sweater with green trousers,unisex
wedding male,Traditional navy kurta with blue pyjama,male
night out female,Traditional brown saree with maroon blouse,female
gym unisex,Comfy navy sweater with brown trousers,unisex
rainy day male,Smart black blazer with grey chinos,male
party unisex,Comfy white sweater with peach trousers,unisex
date night female,Formal navy blouse with red skirt,female
office male,Traditional red kurta with green pyjama,male
night out unisex,Trendy navy t-shirt with blue joggers,unisex
office female,Casual maroon top with peach jeans,female
night out male,Formal white suit with grey tie,male
wedding male,Formal black suit with peach tie,male
wedding unisex,Classic peach shirt with grey denim,unisex
gym unisex,Stylish blue hoodie with brown jeans,unisex
wedding female,Chic black jumpsuit with maroon belt,female
office male,Sporty white t-shirt with navy shorts,male
date night female,Chic green jumpsuit with red belt,female
casual meetup unisex,Trendy brown t-shirt with navy joggers,unisex
wedding female,Casual red top with grey jeans,female
party female,Elegant peach dress with brown scarf,female
party female,Traditional grey saree with maroon blouse,female
office unisex,Modern red jacket with navy pants,unisex
casual meetup male,Traditional navy kurta with red pyjama,male
date night unisex,Stylish white hoodie with red jeans,unisex
casual meetup male,Casual green shirt with grey trousers,male
wedding male,Casual red shirt with navy trousers,male
gym unisex,Stylish red hoodie with black jeans,unisex
casual meetup male,Casual grey shirt with peach trousers,male
casual meetup male,Sporty black t-shirt with brown shorts,male
travel unisex,Classic red shirt with white denim,unisex
date night female,Formal blue blouse with navy skirt,female
wedding female,Formal green blouse with grey skirt,female
wedding female,Traditional grey saree with black blouse,female
office unisex,Comfy brown sweater with navy trousers,unisex
rainy day male,Smart green blazer with navy chinos,male
night out unisex,Modern brown jacket with blue pants,unisex
rainy day male,Formal white suit with navy tie,male
beach unisex,Modern green jacket with navy pants,unisex
casual meetup male,Traditional brown kurta with navy pyjama,male
rainy day unisex,Classic black shirt with red denim,unisex
casual meetup male,Sporty white t-shirt with peach shorts,male
beach unisex,Modern red jacket with navy pants,unisex
casual meetup male,Smart brown blazer with maroon chinos,male
wedding unisex,Trendy black t-shirt with blue joggers,unisex
casual meetup unisex,Classic peach shirt with red denim,unisex
wedding female,Casual brown top with grey jeans,female
travel unisex,Trendy maroon t-shirt with black joggers,unisex
date night unisex,Trendy peach t-shirt with white joggers,unisex
beach female,Casual green top with brown jeans,female
wedding male,Traditional green kurta with black pyjama,male
wedding female,Casual peach top with blue jeans,female
rainy day male,Formal black suit with red tie,male
party male,Sporty black t-shirt with brown shorts,male
casual meetup female,Formal green blouse with navy skirt,female
wedding male,Casual peach shirt with navy trousers,male
wedding female,Traditional black saree with maroon blouse,female
wedding unisex,Comfy blue sweater with grey trousers,unisex
travel male,Formal blue suit with green tie,male
casual meetup male,Formal brown suit with navy tie,male
party unisex,Comfy grey sweater with peach trousers,unisex
travel male,Formal white suit with maroon tie,male
party female,Chic red jumpsuit with maroon belt,female
wedding male,Traditional grey kurta with blue pyjama,male
gym female,Casual black top with navy jeans,female
gym unisex,Modern maroon jacket with red pants,unisex
gym unisex,Comfy green sweater with navy trousers,unisex
rainy day female,Elegant grey dress with red scarf,female
office female,Traditional maroon saree with grey blouse,female
casual meetup female,Elegant maroon dress with grey scarf,female
night out unisex,Classic white shirt with maroon denim,unisex
beach male,Smart green blazer with grey chinos,male
rainy day unisex,Stylish red hoodie with peach jeans,unisex
travel female,Chic peach jumpsuit with navy belt,female
gym female,Formal brown blouse with black skirt,female
wedding female,Formal navy blouse with blue skirt,female
night out male,Sporty green t-shirt with peach shorts,male
rainy day female,Chic navy jumpsuit with maroon belt,female
rainy day female,Casual grey top with white jeans,female
rainy day male,Sporty maroon t-shirt with red shorts,male
office male,Traditional peach kurta with white pyjama,male
gym female,Casual peach top with green jeans,female
rainy day unisex,Stylish green hoodie with navy jeans,unisex
rainy day male,Smart black blazer with blue chinos,male
office male,Formal blue suit with peach tie,male
rainy day female,Formal navy blouse with green skirt,female
rainy day female,Chic peach jumpsuit with maroon belt,female
rainy day unisex,Comfy peach sweater with grey trousers,unisex
gym male,Traditional brown kurta with grey pyjama,male
date night male,Traditional maroon kurta with navy pyjama,male
office female,Chic green jumpsuit with brown belt,female
wedding male,Traditional green kurta with grey pyjama,male
casual meetup unisex,Comfy peach sweater with red trousers,unisex
office male,Casual white shirt with red trousers,male
gym unisex,Modern maroon jacket with blue pants,unisex
casual meetup unisex,Comfy white sweater with maroon trousers,unisex
casual meetup unisex,Classic grey shirt with black denim,unisex
casual meetup unisex,Classic maroon shirt with blue denim,unisex
beach unisex,Stylish brown hoodie with peach jeans,unisex
beach female,Casual maroon top with red jeans,female
rainy day male,Smart grey blazer with red chinos,male
gym unisex,Comfy red sweater with brown trousers,unisex
