occasion_text,outfit,gender,season
evening shopping male,beige t-shirt with navy shorts with gray coat with olive boots with olive belt,male,spring
evening office female,blue wrap dress with maroon sandals,female,spring
night beach male,blue polo shirt with olive jeans with gray jacket with white sneakers,male,fall
winter business meeting male,green t-shirt with beige chinos with red jacket with gray dress shoes with black tie,male,fall
brunch female,navy sundress with brown flats,female,fall
holiday party male,brown polo shirt with green sweatpants with gray vest with black dress shoes with blue watch,male,winter
fall night gala female,red sweater with navy leggings with black blazer with beige boots,female,winter
office female,white t-shirt with yellow leggings with green cardigan with beige heels with navy scarf,female,all
summer birthday party female,black blouse with yellow leggings with white blazer with yellow sandals,female,spring
spring interview unisex,blue sweater with red chinos with pink jacket with green boots with brown hat,unisex,spring
picnic female,maroon t-shirt with pink skirt with red jacket with red heels,female,summer
fall daytime conference male,black sweater with navy sweatpants with beige boots with navy belt,male,summer
summer holiday party female,white sundress with yellow coat with green flats with beige scarf,female,summer
fall night shopping male,beige polo shirt with red shorts with black jacket with green sneakers,male,fall
fall evening conference unisex,beige button-down with beige jeans with brown sneakers with red sunglasses,unisex,spring
birthday party male,beige sweater with white jeans with yellow vest with white dress shoes with olive tie,male,spring
fall daytime sports unisex,red t-shirt with black sweatpants with brown vest with blue boots with beige hat,unisex,winter
fall anniversary unisex,maroon sweater with maroon chinos with green coat with navy sandals with maroon hat,unisex,winter
daytime sports male,red dress shirt with white dress pants with navy dress shoes,male,winter
winter birthday party male,white t-shirt with brown sweatpants with green coat with beige sneakers with yellow tie,male,winter
movie night male,olive hoodie with black chinos with white vest with olive boots with red hat,male,fall
sports unisex,brown sweater with maroon chinos with pink sandals,unisex,winter
spring brunch unisex,beige t-shirt with white shorts with red sandals,unisex,all
office male,blue t-shirt with pink shorts with pink jacket with yellow sneakers with green tie,male,fall
summer daytime date night male,black sweater with black jeans with olive boots,male,fall
spring shopping female,navy sweater with green shorts with white blazer with green heels,female,winter
summer anniversary female,green tank top with blue leggings with pink flats,female,spring
fall night office male,maroon t-shirt with gray sweatpants with black dress shoes,male,spring
summer date night female,pink maxi dress with red cardigan with olive sandals,female,all
summer presentation unisex,maroon button-down with gray jeans with maroon vest with olive boots,unisex,all
summer anniversary male,red hoodie with red dress pants with pink jacket with red sneakers,male,all
holiday party male,blue polo shirt with green chinos with green coat with green dress shoes,male,fall
fall brunch female,olive sweater with red shorts with green jacket with white flats with red hat,female,all
winter wedding male,blue hoodie with green dress pants with black sneakers,male,summer
fall evening presentation male,navy hoodie with white jeans with beige loafers,male,spring
evening anniversary male,green hoodie with navy chinos with yellow vest with green sneakers with brown watch,male,fall
shopping male,green sweater with gray chinos with blue loafers,male,summer
anniversary female,maroon wrap dress with white sandals with black purse,female,winter
spring evening sports male,brown hoodie with black jeans with red jacket with navy sneakers,male,fall
fall office unisex,gray sweater with red chinos with pink vest with black sandals,unisex,fall
summer shopping male,red hoodie with gray sweatpants with navy vest with navy dress shoes,male,winter
daytime wedding female,gray t-shirt with olive skirt with maroon blazer with beige boots,female,summer
spring sports male,beige t-shirt with red sweatpants with blue vest with pink boots with blue belt,male,all
gala unisex,yellow button-down with yellow sweatpants with black coat with brown sneakers,unisex,fall
picnic male,black sweater with navy jeans with black blazer with yellow loafers with blue watch,male,fall
daytime beach female,beige sundress with green flats with red hat,female,winter
summer night anniversary male,red dress shirt with gray jeans with navy coat with maroon loafers with white belt,male,spring
fall night sports unisex,yellow t-shirt with maroon shorts with beige coat with gray sandals with brown backpack,unisex,fall
hiking male,blue t-shirt with brown jeans with pink sneakers,male,summer
daytime shopping male,olive hoodie with beige jeans with beige jacket with red loafers,male,all
wedding unisex,blue t-shirt with yellow shorts with green boots,unisex,summer
night brunch male,brown t-shirt with maroon shorts with gray blazer with brown dress shoes,male,summer
daytime office female,olive maxi dress with pink flats,female,fall
spring sports male,white t-shirt with blue chinos with gray loafers,male,all
evening business meeting female,blue sundress with pink blazer with navy sandals,female,fall
daytime presentation male,olive sweater with brown sweatpants with olive sneakers,male,summer
anniversary female,beige sweater with beige skirt with gray sandals,female,summer
shopping female,beige cocktail dress with black coat with navy sandals,female,winter
summer date night female,white maxi dress with red cardigan with brown sandals with navy jewelry,female,fall
summer evening movie night female,pink sweater with olive skirt with navy heels,female,summer
night gala female,beige tank top with navy dress pants with black cardigan with red heels with navy scarf,female,winter
business meeting female,green t-shirt with navy jeans with green heels,female,spring
night presentation female,olive sundress with blue heels,female,all
fall birthday party female,green sweater with yellow shorts with pink heels with white scarf,female,all
evening office female,maroon cocktail dress with black jacket with red flats,female,summer
summer night anniversary unisex,yellow t-shirt with maroon chinos with yellow coat with gray sneakers with olive backpack,unisex,winter
daytime movie night female,beige t-shirt with green shorts with navy heels,female,spring
fall office male,brown sweater with brown chinos with blue vest with navy sneakers,male,summer
spring evening shopping female,maroon cocktail dress with maroon blazer with navy flats with pink purse,female,winter
night birthday party unisex,olive sweater with white jeans with white boots,unisex,summer
night business meeting female,gray blouse with red dress pants with beige blazer with blue flats,female,all
summer evening birthday party male,beige dress shirt with pink chinos with brown blazer with navy sneakers,male,fall
fall conference male,pink t-shirt with yellow dress pants with pink coat with black boots with green tie,male,winter
daytime date night unisex,gray button-down with black jeans with black coat with white sandals with brown hat,unisex,all
daytime sports female,red sundress with red blazer with blue flats with black scarf,female,fall
